Entity1,Relation,Entity2,,,
amazon region,contains,biodiversity,,,
amazon region,source of,water,,,
amazon region,source of,food,,,
gold mining,source of,livelihoods,,Total Dataset,1899
gold mining,source of,income,,Unique Entity,1746
mercury,released in,water,,Unique Relation,745
mercury,contaminates,plants,,Wiki-Entity,1087
mercury,contaminates,animals,,Non-Wiki Entity,659
mercury,impacts,health,,Wiki-Relation,602
mercury,impacts,quality life,,Non-Wiki Relation,143
governments,enact,antimercury policies,,,
amazon region,is,ecological treasure,,,
amazon river,flows,rainforest,,,
freshwater system,comprises,amazon basin,,,
basin's freshwater,contributes,biodiversity,,,
water levels,protect,wildlife habitats,,,
river fish,provide,food source,,,
amazon,hosts,biologically diverse biome,,,
amazon river dolphin,is,species,,,
dorado catfish,is,species,,,
residents,depend on,environment,,,
water cycle,contains,freshwater,,,
trees,capture,carbon,,,
climate,continues,change,,,
ecosystems,are,vulnerable,,,
amazon river dolphin,found in,freshwater,,,
large fish,unique,migratory patterns,,,
large fish,breeding,andean foothills,,,
large fish,found in,amazon basin,,,
jaguars,found in,amazon basin,,,
urban communities,relies on,freshwater fish,,,
consumed species,are,large migratory catfish,,,
catfish,depend on,amazon rivers water quality,,,
indigenous people,live,the amazon,,,
cultural beliefs,rooted on,amazons natural elements,,,
cultural value,contributes,healthy way life,,,
amazon residents,lives in,urban settings,,,
indigenous populations,shaped,their lives and customs,,,
amazon,supports,activities,,,
activities,including,fishing,,,
activities,including,mining,,,
activities,including,forestry,,,
activities,including,tourism,,,
basin,recycles,rainfall,,,
rainfall,delivers,water,,,
river,supports,industry,,,
industry,provides,livelihoods,,,
activities,have driven,extensive infrastructure construction,,,
activities,can pollute,local freshwater resources,,,
agriculture and mining,lead to,the clearing,,,
amazon region,lost,millions hectares forest,,,
activities,have,consequences,,,
consequences,are on,inhabitants,,,
rural residents,have,few opportunities,,,
individuals,remain trapped in,cycle poverty,,,
negative impact,is on,their territories,,,
negative impact,is on,their livelihoods,,,
mining,is,economic sector,,,
income,supports,local residents,,,
gold exports,amount,us billion,,,
regions mining sector,is dominated by,largescale corporations,,,
mining activities,result in,deforestation,,,
mining activities,result in,environmental pollution,,,
pollution,inflicts,harm,,,
minamata convention mercury,defines,asgm,,,
asgm,is,gold mining,,,
gold mining,conducted by,individuals,,,
gold mining,conducted by,small enterprises,,,
laborers,work,illegally,,,
smallscale operations,use,mechanical tools,,,
smallscale operations,are responsible for,gold production,,,
gold production,is in,amazon countries,,,
miners,are,members,,,
members,are in,rural lowincome communities,,,
community members,seek,reliable livelihoods,,,
community members,are drawn to,this work,,,
vulnerable communities,have,limited access,,,
limited access,is to,education,,,
mining,remains,core part,,,
vulnerable communities,engage,smallscale gold mining,,,
regions,rely on,environmentally harmful industries,,,
economic reliance,is,unsustainable,,,
economic reliance,contributes,local inequality,,,
mercury,plays,role,,,
role,in,process,,,
process,purifying,gold,,,
mercury,use,amalgamate,,,
particles gold,mixed,soil riverbeds,,,
process,requires,mercury,,,
mercury,recovered,gold,,,
mercury,released,environment,,,
mercury,is,natural element,,,
mercury,poses,risks,,,
risks,are for,human health,,,
mercury,is considered,persistent contaminant,,,
persistent contaminant,can travel,atmospheric currents,,,
mercury,found in,whole world,,,
mercury,can not be,destroyed,,,
mercury,must be,regulated,,,
regulated,is for,entire life cycle,,,
mercury contamination,has decreased in,global north,,,
mercury contamination,has increased in,global south,,,
amazon biome,has experienced,mining boom,,,
mining boom,is fostered,sustained rise,,,
sustained rise,is in,international gold prices,,,
expansion,cause,environmental consequences,,,
mining activities,use,mercury,,,
mercury,contributes,emission,,,
emission,is of,mercury vapors,,,
mechanized operations,occur,amazon biome,,,
amazon biome,face,mercury contamination,,,
mercury mining,occurs in,amazon,,,
countries,imported,mercury,,,
reports,denote,illegal mercury trade,,,
impacts,related to,mercury,,,
mercury,dumped on,land,,,
mercury,dumped on,water bodies,,,
gold,burned with,mercury amalgams,,,
mercury,emitted,mercury rich sediments,,,
mercury,found in,latin america,,,
global mercury emissions,originate,amazon,,,
mercury,is in,amazon region,,,
large gold mining,is in,amazon,,,
metric tons mercury,found in,soils and water,,,
mercury,found in,amazonian soils,,,
biomass combustion,is,source of emissions,,,
countries,emit,high levels mercury,,,
high levels mercury,used in,gold mining processes,,,
monitoring stations,exist,south america,,,
mercury contamination,is detected in,water,,,
research efforts,carried in,local and regional,,,
gaps,exist in,information,,,
mercury emissions,are in,amazon biome,,,
studies,show,higher concentrations mercury,,,
higher concentrations mercury,found in,water fish,,,
dumping,results in,spillage,,,
mercury,found in,fish,,,
fish,located in,south america,,,
mining activities,need,research,,,
research,determines,scope,,,
research,conducted in,amazon region,,,
peoples,live in,northern arch,,,
contamination,caused by,mercury,,,
effects,caused by,mercury use,,,
pollution,caused by,mercury,,,
people,live on,shores,,,
mercury,is,problem,,,
mercury,investigated in,countries,,,
mining activities,occur in,latin america,,,
