Entity1,Relation,Entity2
Amazon region,contains,biodiversity
Amazon region,source of,water
Amazon region,source of,food
Amazon region,is,ecological treasure
Amazon river,flows,rainforest
Amazon river dolphin,is,species
Amazon river dolphin,found in,freshwater
Amazon residents,lives in,urban settings
Amazon region,supports,activities
Amazon region,lost,millions hectares forest
Amazon biome,has experienced,mining boom
Amazon biome,face,mercury contamination
Amazon region,need,comprehensive measures
Amazon biome,included,market mechanisms
Amazon biome,composed of,eight countries
Amazon biome,experienced,mining boom
Amazonian departments,not included,national mining census
Amazon region,integrated with,mercury trade markets
Amazon biome,is connected,global mercury trade
Bolivian Amazon,has,beni river
Amazon river basin,starts in,Peru
Amazon river basin,ends in,Brazil
Amazons freshwater systems,spread,mercury contamination
Bolivian Amazon,is,vulnerable
sinchi Amazonian institute,carried,physicalchemical analysis
Amazon region,exists in,legal title
Amazon region,becoming concern for,minamata convention
Amazon region,is,legalizing mining activities
Amazon populations,exposed to,mercury pollution
Amazon soil,contains,mercury contamination
Amazon basin,recycles,rainfall
Amazon basin,contributes to,biodiversity
carnegie Amazon mercury ecosys tem project,indicates,mercury contamination
Amazonian countries,reported,total mercury imports
ASGM,provides,livelihoods
gold exports,measured in,billion usd
ASGM,conducted by,individuals
ASGM,conducted by,small enterprises
gold production,found in,Amazon region
gold particles,mixed in,soil riverbeds
gold,burned with,mercury amalgams
gold markets,need to,reduce emissions
igm,is in,latin america
ASGM,boom in,the world
ASGM,shifted from,historically important sites
ASGM,shifted to,low and middleincome countries
three million women,works in,ASGM
children,works in,ASGM
gold,separated from,mixed materials
gold,is in,sands
gold,is in,soils
gold,is in,sediments
mercury-gold amalgam,placed on,metal pan
mercury-gold amalgam,heated by,blowtorch
gold,left behind,boiling point reached
gold boiling point,is higher than,mercury
gold rushes,found in,nineteenthcentury California
ASGM,found in,Colombian Amazon
gold trade actors,overlap,gold trade flows
gold production,found in,Bolivia
gold,produced,mercury
gold miners,consume,metric tons mercury
ASGM,has,negative impact
ASGM,located in,madre de dios
ASGM,located in,puno
ASGM,located in,puerto maldonado
gold markets,maintained by,frontier companies
gold particles,are isolated from,lighter minerals
gold,undergoes,purification process
ASGM,located in,Venezuela
ASGM,cause,deforestaon
ASGM,has been going,through the Amazon
ASGM,exists in,Amazon region
gold markets,is,WHO standard
ASGM,extracts,minerals
gold extraction,varies on,input factor
igm,includes,mercury
better gold initiative,is,BGI project
better gold initiative,will be,complicated
better gold initiative,related to,comprehensive platform
igm,is,responsible for mercury pollution
igm,avoided,regulations
igm,avoided,management plans
gold recovery processes,should respect,environment
ASGM,located in,Brazil
ASGM,found in,sri market
gold,found in,national government entity
